ppr,pwm_steps_measured_10ms,pwm_steps_measured_20ms,pwm_steps_measured_20ms_minus_10ms,pwm_steps_measured_percent_change,active_pwm_start_percent_10ms,active_pwm_start_percent_20ms,active_pwm_start_percent_20ms_minus_10ms,active_pwm_start_percent_percent_change,active_pwm_end_percent_10ms,active_pwm_end_percent_20ms,active_pwm_end_percent_20ms_minus_10ms,active_pwm_end_percent_percent_change,mean_of_pwm_medians_rpm_10ms,mean_of_pwm_medians_rpm_20ms,mean_of_pwm_medians_rpm_20ms_minus_10ms,mean_of_pwm_medians_rpm_percent_change,mean_within_step_sd_rpm_10ms,mean_within_step_sd_rpm_20ms,mean_within_step_sd_rpm_20ms_minus_10ms,mean_within_step_sd_rpm_percent_change,worst_within_step_sd_rpm_10ms,worst_within_step_sd_rpm_20ms,worst_within_step_sd_rpm_20ms_minus_10ms,worst_within_step_sd_rpm_percent_change,mean_filtered_sd_rpm_10ms,mean_filtered_sd_rpm_20ms,mean_filtered_sd_rpm_20ms_minus_10ms,mean_filtered_sd_rpm_percent_change,total_revolution_increment_10ms,total_revolution_increment_20ms,total_revolution_increment_20ms_minus_10ms,total_revolution_increment_percent_change,peak_raw_rpm_10ms,peak_raw_rpm_20ms,peak_raw_rpm_20ms_minus_10ms,peak_raw_rpm_percent_change
48,12.0,12.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1242.2215990454547,1247.744703,5.523103954545377,0.4446150315522954,103.93737908104113,99.70116793342987,-4.236211147611257,-4.075734047813767,716.8093862636681,695.0854028121739,-21.723983451494178,-3.030649970242343,102.16450113708242,101.1291818152756,-1.0353193218068242,-1.0133846006037381,2304.0,2305.0,1.0,0.043402777777777776,2621.031304,2573.203491,-47.82781299999988,-1.824770765881699
96,13.0,13.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1245.3478604999998,1251.511441409091,6.163580909091252,0.4949284536945854,97.65251298951529,88.6941949449499,-8.958318044565388,-9.173668726300182,628.0938271672417,596.5004655259928,-31.593361641248862,-5.0300385507269985,95.62906372105235,90.38001250671199,-5.249051214340355,-5.48897062262547,2303.0,2328.0,25.0,1.0855405992184108,2618.954833,2554.684307,-64.27052599999979,-2.454052478880601
100,13.0,13.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1258.9482153181818,1258.3705027727271,-0.5777125454546876,-0.045888507440211015,87.86913033493724,92.27177169696722,4.402641362029982,5.010452869225073,582.3381274832005,624.456297937755,42.1181704545545,7.232597088668136,87.29350802129646,93.93187849027146,6.638370468974998,7.604655397003262,2333.0,2338.0,5.0,0.21431633090441493,2609.653438,2578.970217,-30.683220999999776,-1.1757584571656745
125,12.0,12.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1258.6395193636365,1259.0627936363637,0.4232742727272125,0.033629507592548694,95.78560728680905,104.94712386720379,9.161516580394732,9.564606666805979,640.8167452865182,756.4791787101336,115.66243342361543,18.049221446593304,95.22991924314016,107.0536638932002,11.823744650060036,12.415997770481942,2334.0,2347.0,13.0,0.5569837189374465,2614.171126,2567.956088,-46.21503800000028,-1.767865827158565
192,12.0,13.0,1.0,8.333333333333332,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1257.801715090909,1256.2094138181817,-1.5923012727273544,-0.1265939816763781,95.05225080277523,89.48681008775397,-5.565440715021268,-5.855138271863809,624.9383600248103,599.5191847661179,-25.419175258692462,-4.067469191310853,93.42871937925011,89.89188101532491,-3.536838363925199,-3.7856008167770163,2322.0,2337.0,15.0,0.6459948320413437,2627.344404,2556.367827,-70.9765769999999,-2.7014569118514355
200,12.0,12.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1250.2346693181817,1252.3586111363636,2.1239418181819474,0.1698834523074171,99.22722564432159,103.67208969697454,4.444864052652946,4.479480327894574,669.1046117528788,704.2108009740207,35.1061892211419,5.246741481750198,97.31853798935846,103.9720103736974,6.65347238433894,6.836798539931293,2313.0,2326.0,13.0,0.5620406398616515,2609.533398,2546.897945,-62.63545299999987,-2.4002548903188963
250,12.0,13.0,1.0,8.333333333333332,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1247.7594539090908,1250.2921147272727,2.5326608181819665,0.20297668835506907,118.14033561232594,111.1796810421155,-6.960654570210437,-5.891852714090487,696.2426545985907,588.517465322073,-107.72518927651765,-15.472362769647482,102.45286229487023,97.26096548535043,-5.191896809519804,-5.067595666167893,2307.0,2317.0,10.0,0.43346337234503685,6102.319151,4974.734401,-1127.58475,-18.47797078615956
256,12.0,12.0,0.0,0.0,10.0,10.0,0.0,0.0,110.0,110.0,0.0,0.0,1254.0913655454544,1257.5437862727272,3.452420727272738,0.27529260005479284,151.14086526717406,132.60579759000663,-18.535067677167433,-12.263438908069439,771.4169472475818,718.8309240795033,-52.58602316807844,-6.816809425266783,114.00824110999561,108.97304105909038,-5.035200050905232,-4.416522877541151,2327.0,2342.0,15.0,0.6446067898581865,7119.379543,5721.628479,-1397.751064,-19.633046047872433
